product_id,hosting,sale_date,revenue
Product 1,Cloud,2023-11-01,53583.85
Product 5,Cloud,2023-09-01,213436.3
Product 5,Cloud,2023-08-01,80083.97
Product 5,Data Center,2023-07-01,367722.25
Product 5,Cloud,2023-01-01,58483.99
Product 5,Data Center,2022-12-01,512291.83
Product 2,Data Center,2021-11-01,106808.57
Product 2,Cloud,2021-09-01,39958.91
Product 2,Data Center,2021-12-01,230751.05
Product 5,Data Center,2021-10-01,129712.05
Product 2,Data Center,2021-05-01,106061.24
Product 1,Cloud,2020-02-01,330418.76
Product 2,Data Center,2021-04-01,65982.51
Product 1,Cloud,2019-12-01,271426.99
Product 5,Data Center,2020-08-01,50779.12
Product 1,Cloud,2018-05-01,122579.27
Product 5,Data Center,2020-03-01,35469.07
Product 2,Data Center,2020-01-01,10597.21
Product 5,Data Center,2019-10-01,63661.5
Product 1,Data Center,2019-02-01,68587.62
Product 2,Data Center,2018-12-01,4063.5
Product 1,Data Center,2018-09-01,17847
Product 1,Cloud,2017-02-01,14659.78
Product 2,Cloud,2023-11-01,7033.9
Product 5,Data Center,2021-03-01,244144.84
Product 3,Data Center,2022-11-01,7266
Product 1,Cloud,2023-06-01,3145821.54
Product 1,Cloud,2022-11-01,1136883.52
Product 2,Cloud,2022-11-01,97284.96
Product 5,Cloud,2023-07-01,48416.19
Product 2,Cloud,2023-02-01,98121.21
Product 2,Data Center,2022-09-01,159151.42
Product 1,Data Center,2022-08-01,717178.07
Product 1,Data Center,2022-06-01,985915.79
Product 2,Data Center,2022-06-01,110983.24
Product 5,Data Center,2022-05-01,196277.72
Product 1,Data Center,2021-12-01,1131968.43
Product 1,Data Center,2021-09-01,838725.74
Product 5,Data Center,2023-04-01,251142.95
Product 5,Cloud,2023-03-01,105453.31
Product 1,Data Center,2021-06-01,713310.04
Product 2,Cloud,2022-08-01,35866.57
Product 2,Cloud,2021-04-01,3731.45
Product 5,Cloud,2021-03-01,71889.28
Product 1,Data Center,2020-12-01,967317.98
Product 5,Cloud,2021-10-01,25948.5
Product 2,Data Center,2021-07-01,158145.6
Product 1,Data Center,2020-09-01,468047.3
Product 1,Data Center,2021-04-01,458761.02
Product 5,Cloud,2020-08-01,9092.38
Product 1,Data Center,2020-06-01,389223.18
Product 5,Data Center,2021-01-01,186740.74
Product 2,Data Center,2020-10-01,122627.36
Product 2,Data Center,2020-12-01,176614.27
Product 5,Data Center,2020-11-01,155688.5
Product 3,Data Center,2020-12-01,21525
Product 1,Data Center,2019-12-01,514177.98
Product 5,Data Center,2020-05-01,80529.95
Product 1,Data Center,2019-08-01,179926.99
Product 1,Data Center,2019-04-01,146550.32
Product 1,Cloud,2018-12-01,172954.99
Product 5,Cloud,2019-05-01,2116.18
Product 5,Cloud,2019-02-01,1684.46
Product 1,Cloud,2018-06-01,115085.13
Product 1,Cloud,2017-06-01,28463.31
Product 2,Data Center,2020-07-01,65793.84
Product 3,Data Center,2021-05-01,0
Product 2,Data Center,2019-11-01,47263.07
Product 3,Data Center,2021-02-01,0
Product 2,Cloud,2020-09-01,8389.44
Product 2,Data Center,2019-04-01,12034.5
Product 3,Data Center,2022-12-01,12000
Product 3,Data Center,2022-08-01,6000
Product 1,Data Center,2023-01-01,1583929.08
Product 5,Data Center,2022-11-01,277530.35
Product 1,Data Center,2022-09-01,870131.2
Product 1,Data Center,2022-07-01,771380.89
Product 5,Cloud,2022-06-01,178300.56
Product 1,Cloud,2022-04-01,832427.01
Product 2,Data Center,2022-02-01,174805.43
Product 1,Cloud,2022-01-01,671368.02
Product 1,Cloud,2021-08-01,691800.96
Product 1,Cloud,2021-07-01,715963.54
Product 2,Data Center,2021-03-01,201255.43
Product 1,Cloud,2021-02-01,523382.23
Product 2,Data Center,2020-08-01,55742.56
Product 1,Cloud,2020-07-01,376121.09
Product 5,Data Center,2021-09-01,325339.27
Product 3,Data Center,2021-07-01,29783.25
Product 1,Cloud,2020-04-01,357339.69
Product 1,Data Center,2020-03-01,316109.65
Product 5,Cloud,2019-09-01,8637.11
Product 1,Data Center,2019-06-01,155053.65
Product 5,Data Center,2020-09-01,109733.21
Product 1,Cloud,2018-08-01,150287.74
Product 1,Cloud,2018-07-01,118207.81
Product 2,Data Center,2023-07-01,190971.38
Product 2,Cloud,2023-09-01,135052.93
Product 5,Data Center,2019-08-01,9932.55
Product 5,Data Center,2020-06-01,58069.85
Product 2,Data Center,2020-03-01,70811.26
Product 5,Cloud,2018-11-01,1023.34
Product 3,Data Center,2020-05-01,127.06
Product 3,Data Center,2020-08-01,7928.25
Product 3,Data Center,2023-04-01,7500
Product 3,Data Center,2022-07-01,6000
Product 5,Cloud,2023-04-01,42191.48
Product 1,Cloud,2022-12-01,1250943.9
Product 2,Cloud,2022-09-01,53063.4
Product 1,Cloud,2022-08-01,1047247.23
Product 2,Cloud,2022-01-01,36727.61
